Category,Job ID,Sub ID,URL,Title,Description,Budget Min,Budget Max,Budget Avg,Client Location,Country Normalized,Payment Verified,Relative Date,Absolute Date,Job Type,Experience Level,Allowed Applicant Countries,Skills,OrgNameRaw,OrgNameNormalized,OrgConfidence,OrgType,OrgSource
QA Testing,1.96612329105958e+18,~021966123291059579819,https://www.upwork.com/jobs/Engineer-Playwright-Manual-Automation_~021966123291059579819/?referrer_url_path=/nx/search/jobs/,"QA Engineer (Playwright, Manual & Automation)","Location: Remote
We’re looking for a proactive QA Engineer to ensure quality and reliability across our product.
Main Responsibilities
QA test pull requests from the team
Increase and maintain end-to-end test coverage (Playwright)
Report and track bugs clearly
Requirements
Experience in manual and automated testing (Playwright)
Strong attention to detail and bug reporting skills
Familiarity with Git and Agile workflows
Salesforce experience is a bonus",,,,United States,United States,unknown,Posted 2 months ago,2025-09-18T15:04:00.097Z,Hourly,Intermediate,,"Web Testing, Docker, Regression Testing, Manual Testing, Jenkins, Python, Apache JMeter",Salesforce experience,salesforce experience,high,individual_or_undefined,is_plain
QA Testing,1.9803961716735767e+18,~021980396171673577044,https://www.upwork.com/jobs/Testing-Mobile-App_~021980396171673577044/?referrer_url_path=/nx/search/jobs/,QA Testing of Mobile App,"We have a mobile app that needs thorough testing including stress testing to identify potential issues before we use at wide scale. This will require: 1- Build all test scenarios for all user personas
2- Use automated testing tools to stress test the mobile app
3- Report detailed description of each issue with suggestions on how to fix",,,,United States,United States,unknown,Posted 4 weeks ago,2025-10-21T15:02:00.689Z,Hourly,Intermediate,,"Software QA, Trello, Cypress, Jira, Test Strategy, Test Automation Framework, Automated Testing",,,none,individual_or_undefined,none
QA Testing,1.9897535540691817e+18,~021989753554069181763,https://www.upwork.com/jobs/Ninjatrader-discord-bot-needs-testing_~021989753554069181763/?referrer_url_path=/nx/search/jobs/,Ninjatrader discord bot needs testing,"https://docs.google.com/document/d/1atRfLMj597_ThcC7N2d1FIbkXLQb3M0epwM7CIgUI6U/edit?usp=sharing
please review and let me know if you have any questions. everything is running on chartvps and is ready to go.",,,,United States,United States,unknown,Posted 3 days ago,2025-11-15T14:56:00.888Z,Hourly,Intermediate,,"Trello, Cypress, Jira, Test Strategy, Software QA, Test Automation Framework, Automated Testing",,,none,individual_or_undefined,none
QA Testing,1.990634429310704e+18,~021990634429310704282,https://www.upwork.com/jobs/Mobile-Content-Tester-for-France_~021990634429310704282/?referrer_url_path=/nx/search/jobs/,Mobile Content Tester for France,"The job is quite easy, I will send you a page and you just have to follow the instruction given to purchase the service (screenshot or screen record is needed). The whole process will take less than 10 minutes. Any cost spent will be reimburse on top of the $5. But before we proceed, can you please confirm / agree.",5.0,5.0,5.0,Malaysia,Malaysia,unknown,Posted 10 hours ago,2025-11-18T04:54:00.090Z,Fixed,Entry Level,,"Game Testing, Web Testing, Bug Tracking & Reports, Jira, Manual Testing, Test Plan, Beta Testing",The job,the job,high,individual_or_undefined,is_plain
QA Testing,1.9890043093860367e+18,~021989004309386036736,https://www.upwork.com/jobs/URGENT-Mobile-messaging-and-calling-app-testing-United-States_~021989004309386036736/?referrer_url_path=/nx/search/jobs/,(URGENT) Mobile messaging and calling app testing in United States,"Location: USA
Short-term task TEST A MOBILE APP WITH AT&T network with DEFINED SCENARIOS Must-have:
AT&T sim cards, at least 1 iOS 26 device and 1 Android 15 or 16 device.
Install Zangi Private Messenger on all devices in debug mode (will be provided).
Test scenarios:
1. Register, set password, set profile, send a few messages and files to another Zangi user, log out saving history, sign in again. Capture issues and send logs right after the issue occurs then mark the date and exact time of the log submission in the report. Send logs is located in the settings tab. (!) Waiting for network or watch icon when sending messages are hith considered as issues and must be reported accordingly. 2. Make several calls during the day, bith audio and video. Log any issues and send logs. Specially attention to ""answering"" state when the call doesn't connect. 3. Send a message then browse away to another app, stay in another app for a few minutes, come back to Zangi and record an audio message then right after send several messages. Log the results. 4. Send 30+ mixes of images, files and video then browse away and check if the file upload is still happening in the background. Wait until all is sent. Log results. If not sent, mention how many, which format. 5. Try messaging followed by sending files several times per day. Log results Report results Receive a debug version of the app. Reproduce the failed cases, navigate to Settings tab then tap send logs. Additionally send time of each log sent and scenario description. We might ask to reproduce the failed scenarios on a new version of the app. If this process is more than 2 iterations we will add additional bonus payment proportionally. (!) Be attentive to delivery statuses: 1 Grey ✔️ = sent but the recipient is offline, 1 blue ✔️ = delivered, 2 blue ✔️ = seen, ⌚️ icon = trying to send encountered some issue RESULTS REPORTING Log each scenario and report passed or failed. Explain the failure in words and add a screenshot and timestamp, also send logs and add sent log exact time, date and your timezone.",100.0,100.0,100.0,Armenia,Armenia,TRUE,Posted 5 days ago,2025-11-13T16:15:56.175Z,Fixed,Intermediate,United States,"Manual Testing, Mobile App Testing, Functional Testing, Android, iOS, Smartphone, Bug Reports",Send logs,send logs,high,product_company,is_plain
QA Testing,1.9785909967882716e+18,~021978590996788271495,https://www.upwork.com/jobs/Tester_~021978590996788271495/?referrer_url_path=/nx/search/jobs/,QA Tester,"Position Summary: The Automated QA Engineer role will play a critical role in ensuring the quality, functionality, and performance of our software application by executing test cases, identifying bugs, and collaborating with developers and product managers. The ideal candidate has strong analytical skills and a passion for delivering a high-quality user experience.
Position Responsibilities:
Develop and Maintain Automated Test Suites:
Design, implement, and maintain automated end-to-end (E2E) test scripts for web applications using Playwright.
Integrate Testing into Deployment Pipelines:
Ensure that automated tests are runnable as part of CI/CD pipelines (e.g., GitHub Actions), enabling reliable checks during each deployment.
Manual and Exploratory Testing (as needed):
Where automation is not feasible, perform targeted manual and exploratory testing to validate edge cases and user flows.
Bug Identification and Documentation:
Accurately log defects found through automated or manual testing, providing clear steps to reproduce and collaborating with developers for timely resolution.
Test Strategy Collaboration:
Work closely with developers and product managers to review requirements, plan automated coverage, and refine acceptance criteria for new and existing features.
Regression and Smoke Testing:
Build and maintain automated suites for regression and smoke testing, validating that bug fixes and new features don't introduce new issues.
Usability and Quality Feedback:
Offer feedback about the product's quality, usability, and edge-case behavior, advocating improvements based on automated test insights.
Maintain Test Documentation:
Organize and keep documentation up-to-date for test cases, scripts, and results, ensuring reproducibility and continuous improvement.
Adaptation and Learning:
Stay current with the latest test automation tools and best practices, adapting strategies as project needs or tooling evolves.
Qualifications:
Proven experience building and maintaining automated tests for web applications using Playwright, Cypress, Selenium, or similar.
Experience with integrating automated tests into CI/CD deployment pipelines.
Strong understanding of end-to-end and regression testing concepts.
Familiarity with bug-tracking tools (e.g., GitHub, Jira) for accurate documentation.
Solid communication skills and teamwork with developers and product stakeholders.",,,,,,unknown,Posted 2 weeks ago,2025-10-16T19:21:00.560Z,Hourly,Intermediate,,"Cypress, Selenium, Regression Testing, Jira, QA Testing, GitHub, CI/CD",Where automation,where automation,high,product_company,is_plain
QA Testing,1.990067299706008e+18,~021990067299706008002,https://www.upwork.com/jobs/Simple-n8n-Workflow-Test_~021990067299706008002/?referrer_url_path=/nx/search/jobs/,Simple n8n Workflow Test,"I need a small, quick n8n workflow created for testing purposes. This is a $10 task designed to evaluate your skills before assigning larger projects.
Task Requirements:
You will create an n8n workflow that:
• Triggers from a webhook
• Receives sample data (I will provide the payload)
• Formats the incoming data into a clean JSON structure
• Sends the formatted data to Google Sheets
Deliverables:
• The workflow JSON export
• A short explanation (1–3 lines) of how the workflow works",10.0,10.0,10.0,United States,United States,TRUE,Posted 2 days ago,2025-11-16T14:39:52.810Z,Fixed,Expert,,"API Testing, JavaScript, Python, Web Development, Java, PHP, CSS",This,this,high,individual_or_undefined,is_plain
QA Testing,1.9864485894797903e+18,~021986448589479790364,https://www.upwork.com/jobs/Python-Developer-Needed-LEGO-Price-Comparison-Tool_~021986448589479790364/?referrer_url_path=/nx/search/jobs/,Python Developer Needed – LEGO Price Comparison Tool,"Hello!
I’m looking for a skilled Python developer to create a tool that automatically compares LEGO Pick-a-Brick prices on the official LEGO website with the average *new* prices for the same parts on BrickLink.com
The goal is to identify parts that are the same price or cheaper on LEGO’s Pick-a-Brick and export the results to a spreadsheet.
---
### **Key Requirements**
* Develop a Python-based program (GUI preferred but not required).
* Automatically pull the current list of all parts available on LEGO Pick-a-Brick.
* This may require using LEGO’s internal/private API or dynamic scraping to capture Element IDs, names, and prices.
* Query the **BrickLink API** to fetch the average *new* GBP £ price for each matching part.
* Compare prices and export results to a CSV/XLSX file.
* Have that file show key preformance stats from the Bricklink sales
* Handle missing or unmatched parts gracefully (skip or log).
* Include simple settings or configuration for API keys (BrickLink and Rebrickable if needed).
---
**Deliverables**
* A working Python script",,,,United Kingdom,United Kingdom,unknown,Posted 2 weeks ago,2025-11-04T14:57:00.491Z,Hourly,Intermediate,,"Web Design, Software Design, Mobile App Design, Translation, React, Python, Django, Java",The goal,the goal,high,product_company,is_plain
QA Testing,1.990919625782424e+18,~021990919625782423983,https://www.upwork.com/jobs/Senior-Engineer-for-SurveyJS-and-PDF-Workflow-Evaluation_~021990919625782423983/?referrer_url_path=/nx/search/jobs/,Senior Engineer for SurveyJS and PDF Workflow Evaluation,"We are seeking a senior engineer to evaluate our SurveyJS implementation architecture, PDF workflows, and web form implementations. This role involves a thorough assessment without any development work. After the evaluation, a quote and timeline for potential implementation will be provided.
Phase 1 – Scope of Work
Your responsibility is to analyze the current system across three major categories:
1.	Architecture
2.	E-Sign PDF Forms built with SurveyJS (6 total forms)
3.	Web Forms built with SurveyJS (14 public-facing forms)
For each category, you will deliver:
•	A detailed findings report
•	A step-by-step remediation plan
•	A quote for implementation
•	A timeline to complete remediation
1. Architecture Evaluation
Contractors must evaluate the entire SurveyJS and API architecture, including:
Design & Structure
•	SurveyJS schema structure, logic, navigation, triggers
•	Code structure, maintainability, and methodology
•	Workflow logic accuracy and data flow mapping
•	Inefficiencies requiring code edits for simple changes
•	UI/UX compliance with required standards
Logic & Behavior
•	Broken or inconsistent logic
•	Errors and bugs surfaced through the workflow
•	Automation logic issues
•	Validation failures
•	Incorrect or inefficient renderer behavior
Security Evaluation
•	Secrets exposure
•	Encryption practices
•	Hashing standards
•	Digital signature/X.509 certificate requirements
•	PDF locking and certificate signing
•	Dependency vulnerabilities
•	CORS restrictions
•	Compliance with E-Sign Act, UETA, and institutional requirements
•	Key rotation and cryptographic protocols
2. E-Sign PDF Workflow Evaluation (6 Forms Total)
The system includes six SurveyJS-driven, multi-signer PDF workflows. Each form has unique signing sequences, conditional logic, access restrictions, email flows, and Pipedrive-triggered initiation logic.
Your evaluation must cover:
Form Workflow Logic
•	Multi-signer sequences (2–4 signers depending on form)
•	Conditional signer requirements
•	Signer access links, parameters, and status logic
•	Restrictions preventing data exposure after signing
•	Status-based locking behavior
Data Handling
•	UUID generation
•	Deal ID or contextual identifier validation
•	Secure database storage
•	PDF storage encryption
Email Workflow
•	Automated email logic and conditions
•	Template accuracy
•	Signer notifications
•	Completion confirmations
•	Attachment/secure link generation
PDF Generation & Security
•	PDF formatting
•	Certificate-based signing (X.509)
•	Completion certificate logic
•	PDF locking
•	Filename conventions
Pipedrive & Automation
•	Triggered initiation from Pipedrive milestones
•	Notes and activities creation
•	Field mapping
•	Workflow transitions
•	Integration with Albato or internal automation layer
3. Web Form Evaluation (15+ Public-Facing Forms)
We have 14 web forms across different use cases. Your evaluation must cover:
Expected Functionality
•	UTM parameter capture throughout iframe
•	Cross-domain iframe behavior and auto-expanding frames
•	URL parameter prefill logic (including complex multi-parameter cases)
•	Turnstile/reCAPTCHA spam prevention
•	CORS domain whitelisting
•	Conditional logic accuracy
•	Data formatting requirements
•	Clean UI
Automation & Integrations
•	Mapping to Pipedrive pipelines
•	Mapping to Jira pipelines
•	Lead flow behavior
•	Error handling
•	Field mapping accuracy
Required Skills & Technology Stack
Core Required Skills
•	Expert SurveyJS experience
•	JavaScript / TypeScript
•	Cloudflare Serverless
•	Secure PDF workflows (multi-signer, X.509, certificate issuance, PDF locking)
•	Encryption and hashing standards
•	Workflow automation design
•	UUID and token-based access logic
•	Pipedrive CRM API (notes, activities, deals, field mapping, automations)
•	SQLite schema design and optimization
•	Automation platforms (Such as Zapier, etc.)
•	Multi-environment deployments on Cloudflare
•	Transactional email logic
Preferred Experience
•	Re-architecting legacy SurveyJS workflows
•	PDF-based digital signature pipelines
•	Compliance with E-Sign Act and UETA
Soft Skills
•	Strong documentation skills
•	Ability to reverse-engineer complex systems
•	High attention to detail
•	Ability to work independently without guidance
Proposal Requirements
Please include:
1.	Examples demonstrating SurveyJS expertise
2.	Examples of secure multi-signer PDF flows
3.	Cloudflare Serverless architecture experience
4.	Timeline estimate for completing the evaluation
5.	Confirmation you can deliver detailed documentation
Timeline
•	Start Date: Immediately upon hire
•	Phase 1 Duration: ~1–2 weeks
•	Deliverables: Written reports, remediation plans, quote for implementing remediations, timeline for implementing remediations
Selection Criteria
We will evaluate proposals on:
•	Depth and accuracy of technical evaluation
•	Organization and clarity of deliverables
•	Quality of remediation recommendations
•	Realistic timelines
•	Professional communication",,,,United States,United States,unknown,Posted yesterday,2025-11-18T13:34:00.756Z,Hourly,Expert,,"Data Entry, PDF Conversion, PHP, PDF, JavaScript, Cloudflare, Encryption, Automation, Pipedrive",Workflow Evaluation We,workflow evaluation we,high,product_company,seeking
QA Testing,1.9836990897780823e+18,~021983699089778082356,https://www.upwork.com/jobs/GoHighLevel-Automation-Webhook-Specialist_~021983699089778082356/?referrer_url_path=/nx/search/jobs/,GoHighLevel Automation/Webhook Specialist,"We need a GoHighLevel (GHL) automation expert to connect an online ordering system with GHL through webhooks or middleware (Zapier / Make).
The goal is to automatically trigger customer follow-up and loyalty workflows after each completed order.
🧩 Project Scope
You’ll build an integration and automation system that:
Receives order data from an external online ordering platform whenever a customer completes a purchase.
Creates or updates the contact in GoHighLevel.
Applies tags and launches these timed workflows:
5-Day Review Request (email + SMS)
15-Day Reorder Reminder
60-Day Loyalty Offer
90-Day Reactivation Campaign
Records campaign performance inside GHL analytics.
(Optional) Sends summary data to a Google Sheet or dashboard.
⚙️ Technical Requirements
You should be able to:
Configure GoHighLevel inbound webhooks.
Use Zapier, Make (Integromat), or a direct API call to post data into GHL.
Map JSON fields (first_name, email, phone, order_total, order_date).
Build and test multi-delay automations inside GHL workflows.
Apply tagging logic for each automation (review-request-sent, reorder-reminder-sent, etc.).
QA the system end-to-end with test data.",5.0,15.0,10.0,United States,United States,TRUE,Posted 18 hours ago,2025-10-30T00:54:53.212Z,Hourly,Intermediate,,"Automation, HighLevel, ChatGPT, ChatGPT API, Zapier, Make.com, English",The goal,the goal,high,product_company,is_plain
